simplified,pinyin,traditional,pos,classifier,definition,source
升,shēng,升,"v, q",,to rise to the rank of,"old-HSK5, new-HSK3"
升,shēng,升,"v, q",,to promote,"old-HSK5, new-HSK3"
升,shēng,升,"v, q",,to hoist,"old-HSK5, new-HSK3"
升,shēng,升,"v, q",,liter,"old-HSK5, new-HSK3"
升,shēng,升,"v, q",,measure for dry grain equal to one-tenth dou 斗,"old-HSK5, new-HSK3"
升,shēng,昇,"v, q",,variant of 升,"old-HSK5, new-HSK3"
升,shēng,陞,"v, q",,variant of 升,"old-HSK5, new-HSK3"
生产,shēng chǎn,生產,"vn, v",,to produce; to manufacture,"old-HSK5, new-HSK3"
生产,shēng chǎn,生產,"vn, v",,to give birth to a child,"old-HSK5, new-HSK3"
生存,shēng cún,生存,"v, vn",,to exist,new-HSK3
生存,shēng cún,生存,"v, vn",,to survive,new-HSK3
生动,shēng dòng,生動,"a, ad",,vivid,"old-HSK5, new-HSK3"
生动,shēng dòng,生動,"a, ad",,lively,"old-HSK5, new-HSK3"
生命,shēng mìng,生命,n,"个, 条",life (as the characteristic of living beings),new-HSK3
生命,shēng mìng,生命,n,"个, 条",living being; creature,new-HSK3
生意,shēng yì,生意,n,,life force,new-HSK3
生意,shēng yì,生意,n,,vitality,new-HSK3
生意,shēng yi,生意,n,笔,business,new-HSK3
生长,shēng zhǎng,生長,"v, vn",,to grow,new-HSK3
生长,shēng zhǎng,生長,"v, vn",,to grow up,new-HSK3
生长,shēng zhǎng,生長,"v, vn",,to be brought up,new-HSK3
声明,shēng míng,聲明,"n, v","项, 份",to state,new-HSK3
声明,shēng míng,聲明,"n, v","项, 份",to declare,new-HSK3
声明,shēng míng,聲明,"n, v","项, 份",statement,new-HSK3
声明,shēng míng,聲明,"n, v","项, 份",declaration,new-HSK3
胜,shèng,勝,"v, g",,victory,new-HSK3
胜,shèng,勝,"v, g",,success,new-HSK3
胜,shèng,勝,"v, g",,to beat,new-HSK3
胜,shèng,勝,"v, g",,to defeat,new-HSK3
胜,shèng,勝,"v, g",,to surpass,new-HSK3
胜,shèng,勝,"v, g",,victorious,new-HSK3
胜,shèng,勝,"v, g",,superior to,new-HSK3
胜,shèng,勝,"v, g",,to get the better of,new-HSK3
胜,shèng,勝,"v, g",,better than,new-HSK3
胜,shèng,勝,"v, g",,surpassing,new-HSK3
胜,shèng,勝,"v, g",,superb (of vista),new-HSK3
胜,shèng,勝,"v, g",,beautiful (scenery),new-HSK3
胜,shèng,勝,"v, g",,wonderful (view),new-HSK3
胜,shèng,勝,"v, g",,(Taiwan pr. [shēng]) able to bear,new-HSK3
胜,shèng,勝,"v, g",,equal to (a task),new-HSK3
胜利,shèng lì,勝利,"v, vn, nz",个,victory,"old-HSK5, new-HSK3"
失去,shī qù,失去,v,,to lose,"old-HSK5, new-HSK3"
石头,shí tou,石頭,n,块,stone,"old-HSK5, new-HSK3"
石油,shí yóu,石油,n,,oil,new-HSK3
石油,shí yóu,石油,n,,petroleum,new-HSK3
时,shí,旹,"g, t",,old variant of 时,new-HSK3
时,Shí,時,"g, t",,surname Shi,new-HSK3
时,shí,時,"g, t",,o'clock,new-HSK3
时,shí,時,"g, t",,time,new-HSK3
时,shí,時,"g, t",,when,new-HSK3
时,shí,時,"g, t",,hour,new-HSK3
时,shí,時,"g, t",,season,new-HSK3
时,shí,時,"g, t",,period,new-HSK3
时代,Shí dài,時代,n,,"Time, US weekly news magazine","old-HSK5, new-HSK3"
时代,shí dài,時代,n,个,age,"old-HSK5, new-HSK3"
时代,shí dài,時代,n,个,era,"old-HSK5, new-HSK3"
时代,shí dài,時代,n,个,epoch,"old-HSK5, new-HSK3"
时代,shí dài,時代,n,个,period (in one's life),"old-HSK5, new-HSK3"
时刻,shí kè,時刻,"n, d","个, 段",time,"old-HSK5, new-HSK3"
时刻,shí kè,時刻,"n, d","个, 段",juncture,"old-HSK5, new-HSK3"
时刻,shí kè,時刻,"n, d","个, 段",moment,"old-HSK5, new-HSK3"
时刻,shí kè,時刻,"n, d","个, 段",period of time,"old-HSK5, new-HSK3"
时刻,shí kè,時刻,"n, d","个, 段",constantly,"old-HSK5, new-HSK3"
时刻,shí kè,時刻,"n, d","个, 段",always,"old-HSK5, new-HSK3"
实际上,shí jì shàng,實際上,d,,in fact,new-HSK3
实际上,shí jì shàng,實際上,d,,in reality,new-HSK3
实际上,shí jì shàng,實際上,d,,as a matter of fact,new-HSK3
实际上,shí jì shàng,實際上,d,,in practice,new-HSK3
实力,shí lì,實力,n,,strength,new-HSK3
实行,shí xíng,實行,v,,to implement,"old-HSK5, new-HSK3"
实行,shí xíng,實行,v,,to carry out,"old-HSK5, new-HSK3"
实行,shí xíng,實行,v,,to put into practice,"old-HSK5, new-HSK3"
实验,shí yàn,實驗,"vn, n, v","个, 次",experiment,"old-HSK5, new-HSK3"
实验,shí yàn,實驗,"vn, n, v","个, 次",test,"old-HSK5, new-HSK3"
实验,shí yàn,實驗,"vn, n, v","个, 次",experimental,"old-HSK5, new-HSK3"
实验,shí yàn,實驗,"vn, n, v","个, 次",to experiment,"old-HSK5, new-HSK3"
实验室,shí yàn shì,實驗室,n,间,laboratory,new-HSK3
食品,shí pǐn,食品,n,种,foodstuff; food; provisions,new-HSK3
使,shǐ,使,v,,to make,new-HSK3
使,shǐ,使,v,,to cause,new-HSK3
使,shǐ,使,v,,to enable,new-HSK3
使,shǐ,使,v,,to use,new-HSK3
使,shǐ,使,v,,to employ,new-HSK3
使,shǐ,使,v,,to send,new-HSK3
使,shǐ,使,v,,to instruct sb to do sth,new-HSK3
使,shǐ,使,v,,envoy,new-HSK3
使,shǐ,使,v,,messenger,new-HSK3
始终,shǐ zhōng,始終,"d, n",,from beginning to end,"old-HSK5, new-HSK3"
始终,shǐ zhōng,始終,"d, n",,all along,"old-HSK5, new-HSK3"
世纪,shì jì,世紀,n,个,century,new-HSK3
世界,shì jiè,世界,n,个,world,new-HSK3
世界杯,Shì jiè bēi,世界杯,"n, nz",,World Cup,new-HSK3
市场,shì chǎng,市場,n,,marketplace,new-HSK3
市场,shì chǎng,市場,n,,market (also in abstract),new-HSK3
事故,shì gù,事故,n,"桩, 起, 次",accident,new-HSK3
事件,shì jiàn,事件,n,个,event,new-HSK3
事件,shì jiàn,事件,n,个,happening,new-HSK3
事件,shì jiàn,事件,n,个,incident,new-HSK3
事实,shì shí,事實,n,个,fact,"old-HSK5, new-HSK3"
事实上,shì shí shàng,事實上,l,,in fact,new-HSK3
事实上,shì shí shàng,事實上,l,,in reality,new-HSK3
事实上,shì shí shàng,事實上,l,,actually,new-HSK3
事实上,shì shí shàng,事實上,l,,as a matter of fact,new-HSK3
事实上,shì shí shàng,事實上,l,,de facto,new-HSK3
事实上,shì shí shàng,事實上,l,,ipso facto,new-HSK3
事业,shì yè,事業,n,个,undertaking,new-HSK3
事业,shì yè,事業,n,个,project,new-HSK3
事业,shì yè,事業,n,个,activity,new-HSK3
事业,shì yè,事業,n,个,"(charitable, political or revolutionary) cause",new-HSK3
事业,shì yè,事業,n,个,"publicly funded institution, enterprise or foundation",new-HSK3
事业,shì yè,事業,n,个,career,new-HSK3
事业,shì yè,事業,n,个,occupation,new-HSK3
试题,shì tí,試題,n,,exam question,new-HSK3
试题,shì tí,試題,n,,test topic,new-HSK3
试验,shì yàn,試驗,"vn, v","次, 个",experiment,new-HSK3
试验,shì yàn,試驗,"vn, v","次, 个",test,new-HSK3
试验,shì yàn,試驗,"vn, v","次, 个",to experiment,new-HSK3
试验,shì yàn,試驗,"vn, v","次, 个",experimental,new-HSK3
室,Shì,室,n,,surname Shi,new-HSK3
室,shì,室,n,,room,new-HSK3
室,shì,室,n,,work unit,new-HSK3
室,shì,室,n,,grave,new-HSK3
室,shì,室,n,,scabbard,new-HSK3
室,shì,室,n,,family or clan,new-HSK3
室,shì,室,n,,one of the 28 constellations of Chinese astronomy,new-HSK3
适合,shì hé,適合,v,,to fit; to suit,new-HSK3
适应,shì yìng,適應,"v, vn",,to adapt,new-HSK3
适应,shì yìng,適應,"v, vn",,to fit,new-HSK3
适应,shì yìng,適應,"v, vn",,to suit,new-HSK3
适用,shì yòng,適用,"v, a, vn",,to be applicable,new-HSK3
收费,shōu fèi,收費,"vn, v",,to charge a fee,new-HSK3
收看,shōu kàn,收看,"v, vn",,to watch (a TV program),new-HSK3
收听,shōu tīng,收聽,"v, vn",,to listen to (a radio broadcast),new-HSK3
收音机,shōu yīn jī,收音機,n,台,radio,new-HSK3
手续,shǒu xù,手續,n,"道, 个",procedure,"old-HSK5, new-HSK3"
手续,shǒu xù,手續,n,"道, 个",formalities,"old-HSK5, new-HSK3"
手指,shǒu zhǐ,手指,n,"个, 只",finger,"old-HSK5, new-HSK3"
首都,shǒu dū,首都,n,个,capital (city),new-HSK3
首先,shǒu xiān,首先,"d, c",,first (of all),new-HSK3
首先,shǒu xiān,首先,"d, c",,in the first place,new-HSK3
受,shòu,受,v,,to receive,new-HSK3
受,shòu,受,v,,to accept,new-HSK3
受,shòu,受,v,,to suffer,new-HSK3
受,shòu,受,v,,subjected to,new-HSK3
